#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: 1.png (501 x 477)
# $TexturePacker:SmartUpdate:ea74b8b6ad65aaad97e56db60dbce200:10a91de416559f7905265684587ae2f6:2fb4358e384f7535f84132012f01e7f4$
#

Cat/Cat_1;0;0;0;74;56;74;56;0.5;0.5
Cat/Cat_2;0;353;0;74;56;74;56;0.5;0.5
Cat/Cat_3;0;427;0;74;56;74;56;0.5;0.5
Cat/Cat_4;0;0;56;74;56;74;56;0.5;0.5
Cat/Cat_5;0;74;56;72;56;72;56;0.5;0.5
Cat/Cat_6;0;146;56;72;56;72;56;0.5;0.5
Cat/Cat_7;0;218;56;72;56;72;56;0.5;0.5
Cat/Cat_8;0;290;56;72;56;72;56;0.5;0.5
Cat/Cat_9;0;362;56;69;56;69;56;0.5;0.5
Cat/Cat_10;0;74;0;69;56;69;56;0.5;0.5
Cat/Cat_11;0;143;0;69;56;69;56;0.5;0.5
Cat/Cat_12;0;212;0;69;56;69;56;0.5;0.5
Cat/Cat_13;0;281;0;72;56;72;56;0.5;0.5
Lizard/Lizard_1;0;346;113;68;60;68;60;0.5;0.5
Lizard/Lizard_2;0;414;113;68;60;68;60;0.5;0.5
Lizard/Lizard_3;0;0;173;68;60;68;60;0.5;0.5
Lizard/Lizard_4;0;68;173;68;60;68;60;0.5;0.5
Lizard/Lizard_5;0;136;173;68;60;68;60;0.5;0.5
Lizard/Lizard_6;0;204;173;68;60;68;60;0.5;0.5
Lizard/Lizard_7;0;272;173;68;60;68;60;0.5;0.5
Lizard/Lizard_8;0;340;173;68;60;68;60;0.5;0.5
Octopus/Octopus_1;0;136;113;70;58;70;58;0.5;0.5
Octopus/Octopus_2;0;206;113;70;58;70;58;0.5;0.5
Octopus/Octopus_3;0;276;113;70;58;70;58;0.5;0.5
Octopus/Octopus_4;0;431;56;68;57;68;57;0.5;0.5
Octopus/Octopus_5;0;0;113;68;57;68;57;0.5;0.5
Octopus/Octopus_6;0;68;113;68;57;68;57;0.5;0.5
Octopus/Octopus_7;0;408;173;76;60;76;60;0.5;0.5
Octopus/Octopus_8;0;0;233;76;60;76;60;0.5;0.5
Octopus/Octopus_9;0;76;233;76;60;76;60;0.5;0.5
Owl/Owl_1;0;152;233;71;60;71;60;0.5;0.5
Owl/Owl_2;0;83;293;71;60;71;60;0.5;0.5
Owl/Owl_3;0;154;293;71;60;71;60;0.5;0.5
Owl/Owl_4;0;225;293;71;60;71;60;0.5;0.5
Owl/Owl_5;0;296;293;66;60;66;60;0.5;0.5
Owl/Owl_6;0;362;293;66;60;66;60;0.5;0.5
Owl/Owl_7;0;428;293;66;60;66;60;0.5;0.5
Owl/Owl_8;0;0;353;66;60;66;60;0.5;0.5
Owl/Owl_9;0;66;353;83;60;83;60;0.5;0.5
Owl/Owl_10;0;223;233;83;60;83;60;0.5;0.5
Owl/Owl_11;0;306;233;83;60;83;60;0.5;0.5
Owl/Owl_12;0;389;233;83;60;83;60;0.5;0.5
Owl/Owl_13;0;0;293;83;60;83;60;0.5;0.5
Pig/Pig_1;0;149;353;58;62;58;62;0.5;0.5
Pig/Pig_2;0;439;353;58;62;58;62;0.5;0.5
Pig/Pig_3;0;0;415;58;62;58;62;0.5;0.5
Pig/Pig_4;0;58;415;58;62;58;62;0.5;0.5
Pig/Pig_5;0;116;415;66;62;66;62;0.5;0.5
Pig/Pig_6;0;182;415;66;62;66;62;0.5;0.5
Pig/Pig_7;0;248;415;66;62;66;62;0.5;0.5
Pig/Pig_8;0;314;415;66;62;66;62;0.5;0.5
Pig/Pig_9;0;380;415;58;62;58;62;0.5;0.5
Pig/Pig_10;0;207;353;58;62;58;62;0.5;0.5
Pig/Pig_11;0;265;353;58;62;58;62;0.5;0.5
Pig/Pig_12;0;323;353;58;62;58;62;0.5;0.5
Pig/Pig_13;0;381;353;58;62;58;62;0.5;0.5
